formula,Cs,CAS,MW,feromonas,especies,totaluses,P,A,Al,K,Sy,Alelo
C17H32O2,17,,268.43,['P'],['Camponotus arminius'],1,1,0,0,0,0,0
C10H14O,10,529-01-1,150.22,"['P', 'P', 'P']","['Schwiebea araujoae', 'Tyroborus lini', 'Tyrophagus similis']",3,3,0,0,0,0,0
C10H11NO3,10,,193.2,"['Al', 'Al']","['Aedes aegypti', 'Culex pipiens molestus']",2,0,0,2,0,0,2
C10H14O2,10,,166.22,"['P', 'P']","['Schwiebea araujoae', 'Trachymyrmex cornetzi']",2,2,0,0,0,0,0
C27H44O2,27,,400.64,['P'],['Malacosoma americanum'],1,1,0,0,0,0,0
C19H27N,19,,269.42,"['P', 'P', 'P']","['Rostrozetes carinatus', 'Rostrozetes glaber', 'Dynatozetes amplus']",3,3,0,0,0,0,0
C5H10O,5,96-22-0,86.13,"['P', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Hypsiboas pulchellus', 'Periplaneta americana', 'Peromyscus maniculatus', 'Oreotragus oreotragus', 'Cephalophus monticola', 'Acinonyx jubatus', 'Panthera tigris altaica', 'Strategus aloeus', 'Triatoma brasiliensis', 'Triatoma infestans', 'Elephas maximus', 'Phodopus campbelli', 'Phodopus sungorus sungorus']",13,12,0,1,0,0,1
C6H12O6,6,50-99-7,180.16,"[None, None, None, None, None, None, None, None, None, 'Al', 'Al', 'A', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', None, 'A', None, None, None, None, None, None, None, None, 'Al']","['Dysdercus koenigii', 'Coptotermes formosanus', 'Heterotermes indicola', 'Reticulitermes flavipes', 'Reticulitermes santonensis', 'Cryptotermes brevis', 'Kalotermes flavicollis', 'Trinervitermes trinervoides', 'Schedorhinotermes lamanianus', 'Asceles glaber', 'Megacrania nigrosulfurea', 'Protaetia pryeri pryeri', 'Chrysophtharta amoena', 'Chrysophtharta variicollis', 'Paropsis atomaria', 'Eleodes longicollis', 'Eurycotis decipiens', 'Eurycotis floridana', 'Empoasca fabae', 'Apis mellifera capensis', 'Macrotermes subhyalinus', 'Microtermes traegardhi', 'Nasutitermes exitiosus', 'Nasutitermes nigriceps', 'Zootermopsis angusticollis', 'Spodoptera littoralis', 'Schistocerca gregaria', 'Camnula pellucida', 'Phyllium westwoodii']",29,0,2,9,0,0,11
C25H50,25,,350.66,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Gamasomorpha maschwitzi', 'Diaritiger fossulatus', 'Asobara tabida', 'Byctiscus populi', 'Anaglyptus mysticus', 'Vadonia livida', 'Rhagium mordax', 'Chrysomela cuprea', 'Chrysomela vigintipunctata', 'Donacia brevicornis', 'Chrysochus auratus', 'Chrysochus cobaltinus', 'Agelastica alni', 'Exosoma lusitanica', 'Sermylassa halensis', 'Adonia variegata', 'Coccinella septempunctata', 'Harmonia axyridis', 'Attagenus unicolor', 'Oedemera nobilis', 'Antitrogus consanguineus', 'Nicrophorus nepalensis', 'Zyras comes', 'Haematobia irritans', 'Myoleja lucida', 'Bombus confusus', 'Bombus cullumanus', 'Bombus filchnerae', 'Bombus hypnorum', 'Bombus lapidarius', 'Bombus lucorum', 'Bombus mesomelas', 'Bombus muscorum allenellus', 'Bombus muscorum muscorum', 'Bombus muscorum pereziellus', 'Bombus pascuorum', 'Bombus pomorum', 'Bombus ruderarius', 'Bombus ruderarius montanus', 'Bombus semenoviellus', 'Bombus sulfureus', 'Bombus sylvarum', 'Bombus terrestris', 'Eufriesea chrysopyga', 'Euglossa allosticta', 'Euglossa augaspis', 'Euglossa bursigera', 'Euglossa crassipunctata', 'Euglossa dilemma', 'Euglossa gorgonensis', 'Euglossa intersecta', 'Euglossa viridissima', 'Iridomyrmex nitidiceps', 'Iridomyrmex purpureus', 'Dorylus molestus', 'Polyrhachis sp', 'Formica truncorum', 'Lasius sakagamii', 'Daceton armigerum', 'Leptogenys diminuta', 'Leptogenys distinguenda', 'Pachycondyla analis', 'Sirex noctilio', 'Macrotermes subhyalinus', 'Papilio protenor demetrius']",65,65,0,0,0,0,0
C10H12O,10,1007-32-5,148.2,"['Al', 'Al', 'Al']","['Brachydesmus avalae', 'Brachydesmus dadayi', 'Polydesmus complanatus']",3,0,0,3,0,0,3
C10H20O,10,693-54-9,156.27,"['P', 'A', 'A', 'P', 'P', 'P', 'P', 'P', 'P', 'A', 'P', 'P']","['Mustela putorius furo', 'Dendrosoter protuberans', 'Cheiropachus quadrum', 'Amauris albimaculata', 'Amauris damocles', 'Amauris ochlea', 'Hydropsyche angustipennis', 'Orwellion gibbulum arizonense', 'Parelaphidion aspersum', 'Phloeotribus scarabaeoides', 'Antechinus stuartii', 'Ropalidia sumatrae']",12,9,3,0,0,0,3
C9H10O2,9,140-11-4,150.18,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'P', 'P', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'P', 'P', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'P', 'K', 'A', 'A']","['Celsus spectabilis', 'Rhuphuma diminuta diminuta', 'Exocentrus fasciolatus', 'Corymbia succedanea', 'Japanostrangalia modicenotata', 'Paratrangalis nymphula', 'Paratrangalis shikokensisi', 'Gamepenthes ornatus', 'Cimex lectularius', 'Podisus distinctus', 'Trialeurodes vaporariorum', 'Anaglyptus nipponensis', 'Anaglyptus subfasciatus', 'Chloridolum viride', 'Chlorophorus japonicus', 'Demonax transilis', 'Paraclytus excultus', 'Asaperda rufipes', 'Pterolophia caudata', 'Pterolophia zonata', 'Glenea relicta relicta', 'Paraglenea fortunei', 'Praolia citrinipes', 'Saperda tetrastigma', 'Anastrangalia scotodes', 'Anoploderomorpha excavata', 'Idiostrangalia contracta', 'Idiostrangalia hakonensis', 'Kanekoa azumensis', 'Leptura dimorpha', 'Leptura modicenotata', 'Leptura ochraceofasciata ochraceofasciata', 'Paranaspia anaspidoides', 'Pseudalosterna misella', 'Pyrrhona laeticolor laeticolor', 'Dinoptera minuta', 'Lemula rufithorax', 'Pidonia aegrota aegrota', 'Pidonia amentata', 'Pidonia grallatrix', 'Pidonia puziloi', 'Pidonia signifera', 'Pidonia simillima', 'Pidonia sp', 'Pidonia yamato', 'Prionus sejunctus', 'Dacus ciliatus', 'Apis mellifera', 'Apis mellifera scutellata', 'Euglossa chlorosoma', 'Euglossa cybelia', 'Euglossa despecta', 'Euglossa dodsoni', 'Euglossa fimbriata', 'Euglossa pleosticta', 'Euglossa polychroma', 'Euglossa securigera', 'Euglossa truncata', 'Eulaema cingulata', 'Eulaema meriana', 'Eulaema nigrita', 'Megalopta aegis', 'Megalopta amoena', 'Megalopta guimaraesi', 'Nematus prasinus', 'Trichoplusia ni', 'Hyles lineata', 'Sphinx perelegans']",68,5,62,0,1,0,63
C15H24,15,88-84-6,204.35,"['A', 'A']","['Sulcacis affinis', 'Diaperis boleti']",2,0,2,0,0,0,2
C12H22O2,12,2305-05-7,198.3,"['P', 'P', 'Al', 'Al', 'Al', 'P', 'P', 'P', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'P', 'A', 'Al']","['Dinoroseobacter shibae', 'Loktanella sp', 'Periplaneta americana', 'Periplaneta brunnea', 'Nothomyrmecia macrops', 'Hystrix cristata', 'Camelus bactrianus', 'Panthera tigris tigris', 'Oxytelus piceus', 'Platystethus arenarius', 'Bledius dissimilis', 'Bledius furcatus', 'Bledius mandibularis', 'Bledius opacus', 'Bledius spectabilis', 'Bledius subterraneus', 'Bledius tricornis', 'Biosteres tyroni', 'Oraesia excavata', 'Bagnalliella yuccae']",20,6,1,13,0,0,14
C8H14O,8,,126.2,"['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","['Eurogaster sp', 'Platyzosteria montana', 'Leptocorisa apicalis', 'Dolycoris baccarum', 'Palomena viridissima', 'Apodiphus amygdali', 'Tessaratoma aethiops']",7,0,0,7,0,0,7
C30H60O,30,22725-63-9,436.8,"['P', 'P', 'P', 'P', 'P', 'P', 'P']","['Cacopsylla pyricola', 'Bruneria borealis', 'Triatoma infestans', 'Mantis religiosa', 'Tenodera angustipennis', 'Tenodera sinensis', 'Stagmomantis carolina']",7,7,0,0,0,0,0
C15H24,15,28387-44-2,204.35,"['Al', 'Al', 'Al', 'Al', 'A', 'P', 'P', 'Al', 'Al', 'Al', 'P', 'Al', 'Al', 'Al', 'P', 'P', 'P', 'Al', 'P', 'Al', 'P', 'Al', 'P', 'P']","['Reticulitermes balkanensis', 'Reticulitermes lucifugus', 'Syntermes dirus', 'Syntermes molestus', 'Leptinotarsa decemlineata', 'Therioaphis maculata', 'Therioaphis riehmi', 'Nasutitermes novarumhebridarum', 'Nasutitermes torresi', 'Chilasa epycides', 'Papilio bianor', 'Papilio demodocus', 'Papilio demoleus', 'Papilio glaucus', 'Papilio helenus', 'Papilio maackii', 'Papilio machaon', 'Papilio macilentus', 'Papilio memnon', 'Papilio polytes', 'Papilio protenor demetrius', 'Papilio troilus', 'Papilio xuthus', 'Atrophaneura aristolochiae']",24,10,1,13,0,0,14
C17H30O,17,,250.42,"['A', 'P', 'A', 'P', 'A', 'A', 'P']","['Abraxas sylvata', 'Itame argillacearia', 'Itame occiduaria', 'Semiothisa clathrata', 'Semiothisa marmorata', 'Semiothisa neptaria', 'Semiothisa sexmaculata']",7,3,4,0,0,0,4
C12H24O,12,35237-62-8,184.32,"['P', 'P', 'A', 'P', 'P', 'A', 'A', 'P', 'A', 'P', 'P', 'P', 'P', 'P', 'P', 'A', 'P', 'A', 'P']","['Setora nitens', 'Setothosea asigna', 'Sitochroa verticalis', 'Blastesthia posticana', 'Gravitarmata margarotana', 'Retinia perangustana', 'Rhyacionia adana', 'Rhyacionia buoliana', 'Rhyacionia busckana', 'Rhyacionia frustrana', 'Rhyacionia neomexicana', 'Rhyacionia subtropica', 'Rhyacionia zozana', 'Cydia pomonella', 'Cydia pomonella', 'Dichrorampha sp', 'Homona spargotis', 'Sparganothis pilleriana', 'Sparganothis pilleriana']",19,13,6,0,0,0,6
C8H10O,8,526-75-0,122.16,"['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'A', 'A', 'A', 'A', 'A']","['Stygnomma spinifera', 'Cynorta astora', 'Eucynortula albipunctata', 'Progonyleptoidellus striatus', 'Pachyloidellus goliath', 'Chlaenius cordicollis', 'Craspedophorus sp', 'Aedes aegypti', 'Aedes togoi', 'Armigeres subalbatus', 'Culex pipiens molestus', 'Culex pipiens pallens']",12,0,5,7,0,0,12
C9H16O,9,,140.22,"['P', 'P']","['Smicridea annulicornis', 'Anabolia laevis']",2,2,0,0,0,0,0
C19H36O,19,,280.49,"['P', 'A']","['Bupalus piniarius', 'Palthis angulalis']",2,1,1,0,0,0,1
C14H24O2,14,,224.34,"['A', 'P', 'A', 'P', 'A', 'P', 'A', 'P', 'P']","['Idaea emarginata', 'Idaea straminata', 'Eucosma derelicta', 'Eucosma womonana', 'Petrova albicapitana', 'Petrova albicapitana', 'Petrova metallica', 'Petrova metallica', 'Lobesia botrana']",9,5,4,0,0,0,4
C33H68,33,58349-83-0,464.89,"['P', 'P', 'K', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Cosmophasis bitaeniata', 'Nauphoeta cinerea', 'Cardiochiles nigriceps', 'Muscidifurax uniraptor', 'Nasonia vitripennis', 'Lycaeides argyrognomon', 'Formica argentea', 'Oecophylla smaragdina', 'Temnothorax nylanderi', 'Temnothorax parvulus', 'Temnothorax racovitzai', 'Temnothorax unifasciatus']",12,11,0,0,1,0,1
C12H22O2,12,,198.3,"['A', 'P', 'P', 'P']","['Leptometopa nilssoni', 'Apolygus lucorum', 'Phytocoris relativus', 'Taylorilygus apicalis']",4,3,1,0,0,0,1
C12H20O,12,97475-11-1,180.29,"['P', 'P', 'A']","['Setothosea asigna', 'Setothosea asigna', 'Tortricidia testacea']",3,2,1,0,0,0,1
C15H24,15,483-76-1,204.35,"['A', 'Al', 'Al', 'A', 'A', 'A', 'P', 'P', 'P', 'A', 'P', 'P', 'P']","['Tritoma bipustulata', 'Reticulitermes okinawanus', 'Semanotus japonicus', 'Gonipterus platensis', 'Dacne bipustulata', 'Diaperis boleti', 'Apis mellifera scutellata', 'Meliponula ferruginea', 'Nannotrigona testaceicornis', 'Plebeia droryana', 'Plebeia droryana', 'Papilio glaucus', 'Byasa alcinous alcinous']",13,6,5,2,0,0,7
C17H32O2,17,,268.44,"['P', 'P', 'P', 'P', 'P', 'P', 'P']","['Amauris albimaculata', 'Amauris damocles', 'Amauris hecate', 'Amauris ochlea', 'Liolaemus alticolor', 'Liolaemus eleodori', 'Acanthodactylus boskianus']",7,7,0,0,0,0,0
C16H30O2,16,,254.41,"['A', 'A', 'A', 'A', 'A', 'A']","['Jordanita anatolica', 'Adscita bolivari', 'Adscita statices statices', 'Rhagades amasina', 'Rhagades predotae', 'Rhagades pruni']",6,0,6,0,0,0,6
C32H64O2,32,,480.85,"['P', 'P']","['Andrena accepta', 'Perdita utahensis']",2,2,0,0,0,0,0
C14H16O3,14,,232.28,['Al'],['Aedes albopictus'],1,0,0,1,0,0,1
C10H16O2,10,,168.23,"['Al', 'Al', 'P', 'P', 'P', 'P', 'Al', 'P', 'Al']","['Ocypus aeneocephalus', 'Ocypus fuscatus', 'Formicomus gestroi', 'Formicomus pedestris', 'Formicomus rubricollis', 'Microhoria terminata', 'Creophilus maxillosus', 'Iridomyrmex purpureus', 'Pheidole biconstricta']",9,5,0,4,0,0,4
C17H11NO7,17,,341.27,"['P', 'P']","['Atrophaneura aristolochiae', 'Atrophaneura coon']",2,2,0,0,0,0,0
C32H66,32,1720-12-3,450.87,"['P', 'P', 'P', 'P', 'P']","['Glossina austeni', 'Glossina fuscipes martinii', 'Glossina pallidipes', 'Acheta domesticus', 'Gryllus pennsylvanicus']",5,5,0,0,0,0,0
C38H78,38,,535.03,"['P', 'P', 'P', 'P']","['Muscidifurax raptorellus', 'Leptinotarsa decemlineata', 'Agelastica alni', 'Pieris rapae']",4,4,0,0,0,0,0
C26H54,26,,366.71,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Neotermes chilensis', 'Anaglyptus mysticus', 'Neoclytus acuminatus acuminatus', 'Rhagium mordax', 'Chrysomela vigintipunctata', 'Gastrophysa viridula', 'Timarcha tenebricosa', 'Lachnaea sexpunctata', 'Donacia brevicornis', 'Lochmaea capreae', 'Exosoma lusitanica', 'Sermylassa halensis', 'Adalia bipunctata', 'Coccinella septempunctata', 'Harmonia axyridis', 'Oedemera nobilis', 'Nicrophorus nepalensis', 'Onymacris bicolor', 'Zophosis gracilipes', 'Sarcophaga bullata', 'Philanthus triangulum', 'Iridomyrmex purpureus', 'Temnothorax lichtensteini', 'Temnothorax nylanderi', 'Temnothorax racovitzai', 'Pogonomyrmex barbatus', 'Laupala orientalis']",27,27,0,0,0,0,0
C13H23N,13,38211-56-2,193.33,"['P', 'P', 'P', 'P', 'P', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'K']","['Acrogalumna sp', 'Protokalumma sp', 'Scheloribates azumaensis', 'Scheloribates lanceoliger', 'Melanophryniscus stelzneri', 'Chauliognathus pulchellus', 'Cheilomenes propinqua', 'Coccinella quinquepunctata', 'Coccinella septempunctata', 'Coccinella transversoguttata', 'Coccinella undecimpunctata', 'Coleomegilla maculata', 'Micraspis sexdecimpunctata', 'Propylea quatuordecimpunctata', 'Dinocampus coccinellae']",15,5,0,9,1,0,10
C10H22,10,124-18-5,142.28,"['A', 'A', 'P', 'Al', 'P', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Orchesella cincta', 'Tomocerus flavescens', 'Supputius cincticeps', 'Edessa rufomarginata', 'Acinonyx jubatus', 'Amara familiaris', 'Amara similata', 'Helluomorphoides clairvillei', 'Loxandrus icarus', 'Loxandrus sp', 'Oxycrepis sp', 'Poecilus cupreus', 'Pseudabarys sp', 'Pterostichus macer', 'Pterostichus melas', 'Pterostichus metallicus', 'Pterostichus niger', 'Pterostichus vulgaris', 'Zyras laticollis', 'Pella funestus', 'Pella humeralis', 'Lincus malevolus', 'Lincus spurcus', 'Dichelops melacanthus', 'Apis dorsata', 'Meliponula ferruginea', 'Scaptotrigona mexicana', 'Camponotus aethiops', 'Camponotus japonicus', 'Camponotus obscuripes', 'Camponotus vagus', 'Notoncus ectatommoides', 'Formica fusca', 'Formica japonica', 'Formica lemani', 'Formica polyctena', 'Formica rufa', 'Formica rufibarbis', 'Formica selysi', 'Myrmecocystus creightoni', 'Myrmecocystus mexicanus', 'Myrmecocystus navajo', 'Lasius fuliginosus', 'Paratrechina longicornis', 'Liolaemus monticola']",45,26,2,17,0,0,19
C8H5NO,8,613-90-1,131.13,"['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","['Strigamia bothriopa', 'Strigamia chionophila', 'Strigamia icterica', 'Pseudopolydesmus serratus', 'Paimoikia sp', 'Sigiria sp', 'Geophilus cayugae', 'Geophilus vittatus', 'Himantarium gabrielis', 'Parafontaria tonominea', 'Niponia nodulosa', 'Nedyopus tambanus mangaesinus', 'Apheloria corrugata', 'Apheloria trimaculata', 'Brachoria sp', 'Cleptoria rileyi', 'Sigmoria nanthahalae', 'Stelgipus agrestis', 'Cherokia georgiana ducilla', 'Cherokia georgiana georgiana', 'Cherokia georgiana latassa', 'Motyxia sequoiae', 'Motyxia tiemanni', 'Motyxia tularea']",24,0,0,24,0,0,24
C26H50O2,26,,394.67,"['P', 'P', 'P', 'P']","['Perdita albipennis', 'Perdita utahensis', 'Bombus griseocollis', 'Frieseomelitta trichocerata']",4,4,0,0,0,0,0
C16H30O2,16,,254.41,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']","['Jordanita anatolica', 'Jordanita horni', 'Jordanita notata', 'Pyromorpha dyari', 'Theresimima ampellophaga', 'Adscita albanica', 'Adscita geryon', 'Adscita mannii', 'Adscita obscura']",9,0,9,0,0,0,9
C9H10O2,9,501-52-0,150.17,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Al', 'P', 'P', 'P', 'P']","['Tayassu pecari', 'Sternotherus odoratus', 'Cervus elaphus', 'Canis mesomelas', 'Lycaon pictus', 'Vulpes vulpes', 'Panthera leo', 'Cybister mesomelas', 'Hydaticus seminiger', 'Frieseomelitta xanthopleura', 'Polybia sericea', 'Loxodonta africana', 'Phodopus sungorus sungorus']",13,12,0,1,0,0,1
C20H42,20,1560-86-7,282.55,"['P', 'P', 'P', 'P']","['Chlorion aereus', 'Anastrepha fraterculus', 'Hesperapis carinata', 'Holomelina lamae']",4,4,0,0,0,0,0
C14H24O2,14,,224.34,['P'],['Eupoecilia ambiguella'],1,1,0,0,0,0,0
C17H27NO2,17,83218-36-4,277.4,"['P', 'P', 'P']","['Melanophryniscus rubriventris', 'Eleutherodactylus iberia', 'Mantella aurantiaca']",3,3,0,0,0,0,0
C7H12O2,7,5837-78-5,128.17,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'K']","['Drosophila americana americana', 'Drosophila americana texana', 'Drosophila borealis', 'Drosophila hydei', 'Drosophila littoralis', 'Drosophila lummei', 'Drosophila novamexicana', 'Drosophila virilis', 'Bactrocera dorsalis']",9,8,0,0,1,0,1
C25H52O,25,26040-98-2,368.68,"['P', 'P']","['Hypotrigona araujoi', 'Hypotrigona ruspolii']",2,2,0,0,0,0,0
C11H17NO6,11,168433-86-1,259.26,"['Al', 'Al', 'Al', 'Al']","['Parnassius apollo', 'Parnassius clodius', 'Parnassius mnemosyne', 'Parnassius smintheus']",4,0,0,4,0,0,4
C11H22O,11,,170.29,['P'],['Hydropsyche angustipennis'],1,1,0,0,0,0,0
C12H22O2,12,4998-71-4,198.3,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Bactrothrips brevitubus', 'Bactrothrips flectoventris', 'Bactrothrips honoris', 'Bactrothrips pictipes', 'Machatothrips artocarpi', 'Apelaunothrips consimilis', 'Haplothrips aculeatus', 'Hoplothrips japonicus', 'Ecacanthothrips inarmatus', 'Psalidothrips lewisi']",10,10,0,0,0,0,0
C20H38O2,20,1775-43-5,310.52,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Asobara tabida', 'Lycorea ceres ceres', 'Ortholeptura valida', 'Drosophila ananassae', 'Drosophila falleni', 'Drosophila immigrans', 'Drosophila mauritiana', 'Drosophila melanogaster', 'Drosophila phalerata', 'Drosophila putrida', 'Drosophila rajasekari', 'Drosophila recens', 'Drosophila simulans', 'Drosophila subobscura', 'Drosophila subquinaria', 'Drosophila testacea', 'Drosophila yakuba', 'Diachrysia stenochrysis']",18,18,0,0,0,0,0
C5H12O,5,,88.15,"['A', 'P', 'A', 'P']","['Cotyclytus dorsalis', 'Megacyllene acuta', 'Megacyllene falsa', 'Triatoma brasiliensis']",4,2,2,0,0,0,2
C29H56,29,,404.75,['P'],['Pachycondyla apicalis'],1,1,0,0,0,0,0
C6H14O,6,626-93-7,102.17,"['P', 'K', 'P', 'P', 'P']","['Cephalophus monticola', 'Conotrachelus nenuphar', 'Scaptotrigona aff. depilis', 'Ceraeochrysa cubana', 'Monocosmoecus pulcherrimus']",5,4,0,0,1,0,1
C14H23NO2,14,,237.34,['P'],['Mantella aurantiaca'],1,1,0,0,0,0,0
C18H36O2,18,6221-98-3,284.48,"['P', 'P', 'P', 'Al', 'P', 'P', 'P', 'P', 'P']","['Tetragonisca angustula', 'Melitta haemorrhoidalis', 'Melitta leporina', 'Callococcithrips fuscipennis', 'Dolycoris baccarum', 'Bombus balteatus', 'Trigona hyalinata', 'Sphecodes crassus', 'Sphecodes ephippius']",9,8,0,1,0,0,1
C15H29NO2,15,,255.4,['Al'],['Aedes aegypti'],1,0,0,1,0,0,1
C13H14O3,13,,218.25,['Al'],['Aedes albopictus'],1,0,0,1,0,0,1
C14H26O2,14,16676-96-3,226.36,"['P', 'A', 'P', 'P', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'P', 'P', 'P', 'P', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'P', 'A', 'P', 'P', 'P', 'A', 'A', 'P', 'P', 'P', 'A', 'P', 'A', 'A', 'P', 'A', 'A', 'P', 'P', 'A', 'P', 'P', 'A', 'A', 'P', 'A', 'P', 'P', 'P', 'A', 'P', 'A', 'P', 'P', 'P', 'A', 'P']","['Coleophora deauratella', 'Coleophora frischella', 'Cossus cossus', 'Cossus cossus', 'Cossus mongolicus', 'Isophrictis similella', 'Isophrictis sp', 'Caryocolum alsinellum', 'Caryocolum marmoreum', 'Caryocolum proximum', 'Chionodes fuscomaculella', 'Gelechia sororculella', 'Gelechia sp', 'Gnorimoschemini sp', 'Phthorimaea sp', 'Scrobipalpa atriplicella', 'Scrobipalpa salinella', 'Graphania plena', 'Loxagrotis albicosta', 'Anadevidia peponis', 'Chrysaspidia putnami', 'Chrysaspidia venusta', 'Zonoplusia ochureata', 'Ypsolopha nemorella', 'Zygaena filipendulae', 'Zygaena lonicerae', 'Zygaena trifolii', 'Zygaena viciae', 'Holcocerus artemisiae', 'Agnippe prunifoliella', 'Dendrolimus kikuchii', 'Dendrolimus pini', 'Dendrolimus punctatus', 'Lithacodia albidula', 'Andropolia contacta', 'Actebia fennica', 'Agrotis orthogonia', 'Agrotis segetum', 'Agrotis venerabilis', 'Euxoa basalis', 'Euxoa catenula', 'Euxoa drewseni', 'Euxoa drewseni', 'Euxoa idahoensis', 'Euxoa ochrogaster', 'Euxoa ochrogaster', 'Euxoa ochrogaster', 'Euxoa pleuritica', 'Euxoa pleuritica', 'Euxoa ridingsiana', 'Euxoa siccata', 'Euxoa sp', 'Feltia jaculifera', 'Paradiarsia littoralis', 'Xestia baja', 'Trichoplusia ni', 'Trichoplusia ni', 'Autographa egena', 'Autographa nigrisigna', 'Diachrysia chrysitis', 'MacDunnoughia purissima', 'Plusia festucae', 'Eucosma womonana', 'Kawabeia razowskii', 'Bonagota salubricola']",65,29,36,0,0,0,36
C25H50,25,16980-85-1,350.66,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","['Gamasomorpha maschwitzi', 'Lucidota atra', 'Liostenogaster flavolineata', 'Parischnogaster jacobsoni', 'Actenodes acornis', 'Dicerca lurida', 'Pheggomisetes ninae', 'Neochlamisus bebbianae', 'Calliopsis andreniformis', 'Calliopsis rozeni', 'Hypomacrotera callops', 'Hypomacrotera subalpinus', 'Nomadopsis helianthi', 'Centris heithausi', 'Centris ruthannae', 'Eucera palestinae', 'Xylocopa micans', 'Bombus cryptarum', 'Bombus lapidarius', 'Bombus magnus', 'Bombus pascuorum', 'Frieseomelitta silvestrii', 'Frieseomelitta silvestrii languida', 'Melipona beecheii', 'Melipona bicolor', 'Melipona scutellaris', 'Plebeia quadripunctata', 'Trigona corvina', 'Trigona melina', 'Camponotus arminius', 'Solenopsis geminata', 'Diacamma ceylonense', 'Diacamma indicum', 'Leptogenys distinguenda', 'Vespa crabro', 'Pieris rapae']",36,36,0,0,0,0,0
C4H6O2,4,503-64-0,86.09,"['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","['Carenum bonellii', 'Carenum interruptum', 'Carenum tinctillatum', 'Laccopterum foveigerum', 'Philoscaphus tuberculatus', 'Scarites acutidens', 'Scarites aterrimus', 'Scarites subterraneus', 'Scarites sulcatus', 'Scarites terricola', 'Patrobus flavipes']",11,0,0,11,0,0,11
